Категория *;Название *;Slug;H1;Title (SEO);Description (SEO);Толщина (мм);Ширина (мм);Состояние;Поверхность;Цена за кг (?) *;Срок поставки;Изображение
304L;Лента нержавеющая 1.50x130 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-1-50x130-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;1,5;130;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-1-50x130-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 0.12x35 мм AISI 304L высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-12x35-mm-aisi-304l-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,12;35;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-12x35-mm-aisi-304l-vysokonagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.90x230 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-0-90x230-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,9;230;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-90x230-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 0.08x90 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-0-08x90-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,08;90;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-08x90-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 1.20x800 мм AISI 304L высоконагартованная 2BA;lenta-nerzhaveyuschaya-1-20x800-mm-aisi-304l-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,2;800;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-20x800-mm-aisi-304l-vysokonagartovannaya-2ba.jpg
304L;Лента нержавеющая 2.00x100 мм AISI 304L высоконагартованная BA;lenta-nerzhaveyuschaya-2-00x100-mm-aisi-304l-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;2;100;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-2-00x100-mm-aisi-304l-vysokonagartovannaya-ba.jpg
304L;Лента нержавеющая 0.25x10 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-0-25x10-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,25;10;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-25x10-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 0.50x170 мм AISI 304L мягкая BA;lenta-nerzhaveyuschaya-0-50x170-mm-aisi-304l-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,5;170;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-50x170-mm-aisi-304l-myagkaya-ba.jpg
304L;Лента нержавеющая 0.18x170 мм AISI 304L мягкая 2B;lenta-nerzhaveyuschaya-0-18x170-mm-aisi-304l-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,18;170;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-18x170-mm-aisi-304l-myagkaya-2b.jpg
304L;Лента нержавеющая 0.45x35 мм AISI 304L нагартованная BA;lenta-nerzhaveyuschaya-0-45x35-mm-aisi-304l-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,45;35;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-45x35-mm-aisi-304l-nagartovannaya-ba.jpg
304L;Лента нержавеющая 1.20x15 мм AISI 304L нагартованная 2BA;lenta-nerzhaveyuschaya-1-20x15-mm-aisi-304l-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,2;15;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-20x15-mm-aisi-304l-nagartovannaya-2ba.jpg
304L;Лента нержавеющая 0.90x200 мм AISI 304L высоконагартованная 2B;lenta-nerzhaveyuschaya-0-90x200-mm-aisi-304l-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,9;200;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-90x200-mm-aisi-304l-vysokonagartovannaya-2b.jpg
304L;Лента нержавеющая 0.30x190 мм AISI 304L мягкая 2BA;lenta-nerzhaveyuschaya-0-30x190-mm-aisi-304l-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,3;190;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-30x190-mm-aisi-304l-myagkaya-2ba.jpg
304L;Лента нержавеющая 2.00x800 мм AISI 304L мягкая BA;lenta-nerzhaveyuschaya-2-00x800-mm-aisi-304l-myagkaya-ba;сам впишу;сам впишу;сам впишу;2;800;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-2-00x800-mm-aisi-304l-myagkaya-ba.jpg
304L;Лента нержавеющая 0.20x35 мм AISI 304L нагартованная BA;lenta-nerzhaveyuschaya-0-20x35-mm-aisi-304l-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,2;35;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-20x35-mm-aisi-304l-nagartovannaya-ba.jpg
304L;Лента нержавеющая 0.60x190 мм AISI 304L нагартованная 2B;lenta-nerzhaveyuschaya-0-60x190-mm-aisi-304l-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,6;190;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-60x190-mm-aisi-304l-nagartovannaya-2b.jpg
304L;Лента нержавеющая 0.40x90 мм AISI 304L нагартованная 2BA;lenta-nerzhaveyuschaya-0-40x90-mm-aisi-304l-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,4;90;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-40x90-mm-aisi-304l-nagartovannaya-2ba.jpg
